x,y,token
62.49406,8.023034,emma
8.142986,33.3422,by
62.50714,10.078477,jane
12.477635,17.998343,volume
25.73696,30.87625,i
-48.928192,-51.655693,chapter
31.862553,1.8077474,handsome
30.123417,-5.9685926,clever
8.767471,33.886017,and
-3.2027557,-10.274162,rich
8.513431,34.00492,with
11.277353,32.59527,a
57.11996,4.5837884,comfortable
43.793316,17.449009,home
35.937107,-31.543938,happy
58.07979,-7.7534614,disposition
-6.435017,29.260754,seemed
9.128061,34.24882,to
9.172604,-5.158871,unite
11.24783,32.105095,some
8.475655,33.63297,of
8.672968,33.68796,the
24.391787,-7.706816,best
-11.885379,-38.44392,blessings
55.052265,-11.292596,existence
12.068932,34.15741,had
30.48469,14.564687,lived
7.324646,28.997553,nearly
-60.965996,-24.304602,twenty
9.486615,29.808828,one
-60.63056,-26.487776,years
8.480435,33.695023,in
5.249619,-2.8928678,world
27.769695,7.245288,very
17.775833,49.577835,little
26.244516,-24.615719,distress
8.839733,33.449844,or
7.901801,-40.001625,vex
39.26388,43.48927,her
39.27427,43.480694,she
11.980988,34.258778,was
18.516338,-30.358946,youngest
-55.218273,14.543047,two
-42.48305,-45.104733,daughters
17.978506,4.963855,most
52.90098,2.176297,affectionate
20.27024,-19.154846,indulgent
-34.689384,-52.91951,father
55.525913,-12.014834,consequence
-34.89204,-52.599518,sister
10.701307,35.196484,s
44.27531,-8.923636,marriage
31.754387,11.944956,been
29.213144,44.478626,mistress
11.62728,35.39256,his
-36.362038,-23.030214,house
8.04191,33.95806,from
36.390617,20.37811,early
49.31541,20.102783,period
-34.7646,-52.73864,mother
-38.968052,-43.84215,died
27.778458,7.1934547,too
-8.261415,36.870747,long
32.91894,16.322836,ago
17.915606,30.283218,for
24.385204,26.904936,have
-0.7771045,11.447313,more
-0.7741419,11.48113,than
11.3544655,32.734123,an
5.6160226,-28.98896,remembrance
-19.189571,-9.37123,place
34.69079,14.505313,supplied
33.04522,0.00040287216,excellent
-21.751335,-29.664806,woman
18.88385,31.019089,as
33.714676,-11.724141,governess
17.009493,33.015743,who
-12.211416,-26.644608,fallen
39.571373,24.491417,short
52.755074,-13.057348,affection
-60.498154,-25.064566,sixteen
33.94076,-10.987557,miss_taylor
62.142574,7.9330645,mr_woodhouse
31.341648,14.230681,family
16.368265,-2.8120754,less
33.982807,-11.745937,friend
30.757484,-6.31738,fond
2.2865896,-10.560729,both
18.017248,30.289835,but
